0.000,0.000,1.500,-10
0.020,0.047,1.499,-10
0.040,0.094,1.497,-10
0.060,0.141,1.493,-10
0.080,0.188,1.488,-10
0.100,0.235,1.482,-10
0.120,0.281,1.473,-10
0.140,0.327,1.464,-10
0.160,0.373,1.453,-10
0.180,0.418,1.440,-10
0.200,0.464,1.427,-10
0.220,0.508,1.411,-10
0.240,0.552,1.395,-10
0.260,0.596,1.377,-10
0.280,0.639,1.357,-10
0.300,0.681,1.337,-10
0.320,0.723,1.314,-10
0.340,0.764,1.291,-10
0.360,0.804,1.266,-10
0.380,0.843,1.241,-10
0.400,0.882,1.214,-10
0.420,0.919,1.185,-10
0.440,0.956,1.156,-10
0.460,0.992,1.125,-10
0.480,1.027,1.093,-10
0.500,1.061,1.061,-10
0.520,1.093,1.027,-10
0.540,1.125,0.992,-10
0.560,1.156,0.956,-10
0.580,1.185,0.919,-10
0.600,1.214,0.882,-10
0.620,1.241,0.843,-10
0.640,1.266,0.804,-10
0.660,1.291,0.764,-10
0.680,1.314,0.723,-10
0.700,1.337,0.681,-10
0.720,1.357,0.639,-10
0.740,1.377,0.596,-10
0.760,1.395,0.552,-10
0.780,1.411,0.508,-10
0.800,1.427,0.464,-10
0.820,1.440,0.418,-10
0.840,1.453,0.373,-10
0.860,1.464,0.327,-10
0.880,1.473,0.281,-10
0.900,1.482,0.235,-10
0.920,1.488,0.188,-10
0.940,1.493,0.141,-10
0.960,1.497,0.094,-10
0.980,1.499,0.047,-10
1.000,1.500,-0.000,-10
1.020,1.499,-0.047,-10
1.040,1.497,-0.094,-10
1.060,1.493,-0.141,-10
1.080,1.488,-0.188,-10
1.100,1.482,-0.235,-10
1.120,1.473,-0.281,-10
1.140,1.464,-0.327,-10
1.160,1.453,-0.373,-10
1.180,1.440,-0.418,-10
1.200,1.427,-0.464,-10
1.220,1.411,-0.508,-10
1.240,1.395,-0.552,-10
1.260,1.377,-0.596,-10
1.280,1.357,-0.639,-10
1.300,1.337,-0.681,-10
1.320,1.314,-0.723,-10
1.340,1.291,-0.764,-10
1.360,1.266,-0.804,-10
1.380,1.241,-0.843,-10
1.400,1.214,-0.882,-10
1.420,1.185,-0.919,-10
1.440,1.156,-0.956,-10
1.460,1.125,-0.992,-10
1.480,1.093,-1.027,-10
1.500,1.061,-1.061,-10
1.520,1.027,-1.093,-10
1.540,0.992,-1.125,-10
1.560,0.956,-1.156,-10
1.580,0.919,-1.185,-10
1.600,0.882,-1.214,-10
1.620,0.843,-1.241,-10
1.640,0.804,-1.266,-10
1.660,0.764,-1.291,-10
1.680,0.723,-1.314,-10
1.700,0.681,-1.337,-10
1.720,0.639,-1.357,-10
1.740,0.596,-1.377,-10
1.760,0.552,-1.395,-10
1.780,0.508,-1.411,-10
1.800,0.464,-1.427,-10
1.820,0.418,-1.440,-10
1.840,0.373,-1.453,-10
1.860,0.327,-1.464,-10
1.880,0.281,-1.473,-10
1.900,0.235,-1.482,-10
1.920,0.188,-1.488,-10
1.940,0.141,-1.493,-10
1.960,0.094,-1.497,-10
1.980,0.047,-1.499,-10
2.000,-0.000,-1.500,-10
2.020,-0.047,-1.499,-10
2.040,-0.094,-1.497,-10
2.060,-0.141,-1.493,-10
2.080,-0.188,-1.488,-10
2.100,-0.235,-1.482,-10
2.120,-0.281,-1.473,-10
2.140,-0.327,-1.464,-10
2.160,-0.373,-1.453,-10
2.180,-0.418,-1.440,-10
2.200,-0.464,-1.427,-10
2.220,-0.508,-1.411,-10
2.240,-0.552,-1.395,-10
2.260,-0.596,-1.377,-10
2.280,-0.639,-1.357,-10
2.300,-0.681,-1.337,-10
2.320,-0.723,-1.314,-10
2.340,-0.764,-1.291,-10
2.360,-0.804,-1.266,-10
2.380,-0.843,-1.241,-10
2.400,-0.882,-1.214,-10
2.420,-0.919,-1.185,-10
2.440,-0.956,-1.156,-10
2.460,-0.992,-1.125,-10
2.480,-1.027,-1.093,-10
2.500,-1.061,-1.061,-10
2.520,-1.093,-1.027,-10
2.540,-1.125,-0.992,-10
2.560,-1.156,-0.956,-10
2.580,-1.185,-0.919,-10
2.600,-1.214,-0.882,-10
2.620,-1.241,-0.843,-10
2.640,-1.266,-0.804,-10
2.660,-1.291,-0.764,-10
2.680,-1.314,-0.723,-10
2.700,-1.337,-0.681,-10
2.720,-1.357,-0.639,-10
2.740,-1.377,-0.596,-10
2.760,-1.395,-0.552,-10
2.780,-1.411,-0.508,-10
2.800,-1.427,-0.464,-10
2.820,-1.440,-0.418,-10
2.840,-1.453,-0.373,-10
2.860,-1.464,-0.327,-10
2.880,-1.473,-0.281,-10
2.900,-1.482,-0.235,-10
2.920,-1.488,-0.188,-10
2.940,-1.493,-0.141,-10
2.960,-1.497,-0.094,-10
2.980,-1.499,-0.047,-10
